ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
1,1096306,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,青森県,青天の霹靂,1,https://www.dropbox.com/scl/fi/w3bs8xzrg6r7lravxb6oc/1096306A.jpg?rlkey=mnz2huwn6yo0vgfiz4y7tfl0r&st=tfka2s8x&dl=0,
2,1238247,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,青森県,青天の霹靂,1,https://www.dropbox.com/scl/fi/qdtkocqieg1qvvi9mfm8w/1238247A.jpg?rlkey=efoeyuhihwflx0wf5wccegs2p&st=0w6mmywx&dl=0,
3,1191415,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,特栽米,―,青森県,青天の霹靂,2,https://www.dropbox.com/scl/fi/459i705ztc6vvgt94mjz6/1191415A.jpg?rlkey=60tnlc47g5im0d50egur9ndny&st=itx5s6wm&dl=0,
4,1110849,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,青森県,青天の霹靂,2,https://www.dropbox.com/scl/fi/j2yt6sk12gx973cuvqe1q/1110849A.jpg?rlkey=y3j60zqoxlseer7seq9l8yfom&st=zrhfdl8w&dl=0,
5,1087585,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,青森県,青天の霹靂,2,https://www.dropbox.com/scl/fi/xjsh9d43qpd5smzvj5ags/1087585A.jpg?rlkey=3wx66n6lzuxylwjx3hyu7pfpz&st=y6h01wu2&dl=0,26 年6月迄
6,1212993,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,特栽米,―,青森県,青天の霹靂,5,https://www.dropbox.com/scl/fi/a4nwn8nt9c0j3gmxg9l2c/1212993A.jpg?rlkey=y9kmzipttimb29nc2qknuimwf&st=8y4d30d3&dl=0,25年5月迄
7,1191417,565,小袋大,【食味王】,―,―,―,ガイドライン,スポット中心,特栽米,―,青森県,青天の霹靂,ー,https://www.dropbox.com/scl/fi/xrzf6zbbiap9c5bo31iwe/1191417A.jpg?rlkey=jxxm2pncie10trnc2atiew0fa&st=kr71axjv&dl=0,25年5月迄
8,1037924,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,青森県,まっしぐら,1,https://www.dropbox.com/scl/fi/ir8glqq7rtod1vxqgyxe5/1037924A.jpg?rlkey=kxw0qsjdpo9m99jfx19ve6kig&st=n02xhnpn&dl=0,
9,1068809,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,青森県,まっしぐら,2,https://www.dropbox.com/scl/fi/zhmdys084vxx1m5sxiyh5/1068809A.jpg?rlkey=2i5vvy3cpmhlianzkenz57bxg&st=gaf123ut&dl=0,25年5月迄
10,1205763,594,小袋中,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,秋田県,あきたこまち,1,https://www.dropbox.com/scl/fi/yg1jxmgx1pb48emadimk3/1205763A.jpg?rlkey=srjqnf2s0bnq3zco8ez8sygm2&st=1t0h4uwk&dl=0,25年5月迄
